talk_id,rank,words_no,top1k,top3k,top5k,top10k,top50k
2790,4.2,4,2,0,0,0,0
117,4.0,4,1,1,0,0,0
2701,2.5,6,3,1,0,0,0
110,2.0,7,4,1,0,0,0
1323,2.1,8,5,1,0,0,0
81,2.1,8,4,2,0,0,0
1117,2.7,8,4,1,0,0,0
101,3.0,8,4,1,0,0,0
1500,3.6,8,4,1,0,1,0
1262,5.5,8,3,1,1,0,1
755,2.0,10,6,2,1,0,0
2250,2.3,10,6,2,0,0,0
153,4.0,10,5,1,0,1,1
119,5.3,10,4,2,1,1,2
1431,3.2,11,6,2,0,1,1
1750,3.4,11,5,2,1,1,1
1173,4.3,11,5,2,1,1,1
383,3.7,11,5,2,0,1,1
1661,4.8,11,4,1,1,2,1
736,4.9,11,5,2,1,0,2
587,4.8,11,4,2,1,1,2
1470,5.4,11,3,2,0,1,2
298,1.9,12,7,2,0,0,0
1716,2.8,12,6,2,1,0,1
381,4.0,12,7,1,0,1,1
975,4.7,12,6,1,0,1,1
1609,4.1,12,5,2,1,1,1
1397,4.6,12,5,2,1,1,1
959,4.0,12,5,2,0,1,1
849,4.4,12,4,2,1,1,1
1962,4.9,12,5,2,1,1,2
1176,2.6,13,8,1,1,0,1
553,2.6,13,8,2,0,1,1
1763,3.5,13,7,2,1,1,1
1704,4.1,13,6,2,1,1,1
1469,3.3,13,5,3,1,1,1
1171,4.0,13,7,2,0,0,2
1411,5.4,13,6,2,1,1,2
490,4.2,13,6,2,0,1,2
2345,2.8,14,8,2,0,1,1
1286,3.4,14,8,1,1,1,1
2117,2.8,14,7,2,1,1,1
2049,3.5,14,7,2,1,1,1
196,3.6,14,7,2,1,1,1
1178,4.0,14,7,2,1,1,1
1282,4.1,14,7,2,1,1,1
235,3.5,14,6,3,1,1,1
623,3.6,14,6,3,1,1,1
1281,4.1,14,6,3,1,1,1
2851,4.4,14,4,4,2,2,1
360,4.7,14,6,3,0,1,2
588,4.3,14,6,2,1,1,2
901,5.3,14,5,2,1,1,2
2313,5.5,14,6,2,1,2,2
1167,3.0,15,8,3,1,1,1
511,3.5,15,8,2,1,1,1
523,3.5,15,7,2,1,1,1
683,3.6,15,7,3,1,2,1
407,3.8,15,7,3,1,2,1
1140,4.1,15,7,2,1,2,1
236,4.8,15,7,3,1,1,2
1444,4.6,15,7,3,0,1,2
681,4.3,15,7,2,1,1,2
856,4.4,15,7,2,1,1,2
1301,4.0,15,6,3,1,1,2
1134,4.8,15,6,2,0,2,2
551,5.7,15,5,3,1,2,3
1796,2.9,16,9,3,1,0,1
1634,2.3,16,9,3,1,1,1
1228,2.8,16,9,3,1,1,1
2798,3.3,16,9,3,1,1,1
282,3.1,16,9,2,1,1,1
572,2.8,16,8,3,1,1,1
2031,2.9,16,8,3,1,1,1
1665,3.7,16,7,4,1,1,1
2089,3.8,16,7,3,1,1,1
356,3.8,16,8,2,1,2,1
563,3.6,16,7,3,1,2,1
1726,3.9,16,9,3,0,1,2
1109,3.4,16,8,3,1,1,2
1963,4.2,16,7,3,1,1,2
811,4.5,16,7,3,1,1,2
1111,4.6,16,7,3,1,1,2
1581,4.6,16,7,3,1,1,2
252,4.8,16,6,3,1,1,2
1210,4.1,16,8,3,1,2,2
1326,4.6,16,8,2,0,2,2
2763,4.1,16,7,3,1,2,2
1252,5.2,16,6,2,1,2,2
1096,2.6,17,9,4,1,1,1
2100,3.0,17,9,3,1,1,1
1298,3.8,17,8,3,2,1,1
292,3.5,17,8,2,1,2,1
1592,3.8,17,7,3,1,2,1
1804,3.9,17,9,3,1,1,2
1643,3.9,17,8,3,1,1,2
408,4.2,17,8,3,1,1,2
836,4.4,17,7,4,2,1,2
860,4.3,17,7,3,2,1,2
594,4.4,17,8,3,1,2,2
531,4.2,17,7,3,1,2,2
201,4.1,17,7,2,1,2,2
2047,4.9,17,7,3,1,3,2
10,5.9,17,6,4,1,1,3
2589,5.0,17,7,3,1,2,3
131,5.2,17,7,2,1,2,3
566,4.9,17,5,4,1,2,3
2237,5.4,17,6,4,1,3,3
1413,6.1,17,6,2,1,2,4
642,3.0,18,11,3,1,1,1
518,3.1,18,9,3,1,1,1
2869,3.3,18,8,4,1,1,1
1862,3.6,18,8,4,1,1,1
1915,3.7,18,9,3,2,1,2
2482,3.9,18,9,2,2,1,2
2028,3.8,18,8,4,1,1,2
1792,3.9,18,8,4,1,1,2
2073,4.2,18,8,4,1,1,2
1700,4.3,18,8,4,1,1,2
734,4.2,18,8,3,2,1,2
218,4.4,18,8,3,2,1,2
1508,4.7,18,9,2,1,2,2
1448,3.8,18,8,3,2,2,2
1187,3.9,18,8,3,2,2,2
2138,4.4,18,8,3,1,2,2
1204,4.3,18,7,4,2,2,2
239,4.1,18,8,4,1,1,3
26,5.3,18,7,3,2,1,3
803,4.4,18,8,3,1,2,3
1219,5.5,18,8,2,1,2,3
412,5.0,18,7,3,1,2,3
2756,5.3,18,6,4,1,2,3
1122,5.8,18,6,4,1,2,3
2837,3.0,19,10,4,1,1,1
1001,3.2,19,9,5,1,1,1
1144,3.6,19,10,3,1,2,1
2795,3.3,19,9,4,1,2,1
1697,3.5,19,10,4,1,1,2
578,3.8,19,10,3,1,1,2
158,3.8,19,10,2,1,1,2
2161,3.5,19,9,4,1,1,2
957,3.8,19,9,3,1,1,2
997,3.9,19,9,3,1,1,2
1608,3.7,19,9,3,1,2,2
565,3.9,19,8,4,1,2,2
2536,4.3,19,8,4,1,2,2
654,3.8,19,8,3,2,2,2
2157,4.6,19,7,4,2,2,2
2092,5.0,19,9,3,2,1,3
682,4.4,19,7,5,1,1,3
1104,4.7,19,8,3,2,2,3
2052,4.9,19,7,4,2,2,3
1781,5.3,19,7,3,1,2,3
2245,5.5,19,7,4,1,2,4
1639,5.5,19,6,4,1,2,4
2280,6.5,19,5,4,2,2,4
1136,2.3,20,11,4,1,1,1
1161,3.4,20,10,4,1,1,1
1600,3.0,20,10,4,2,2,1
1353,3.3,20,9,4,2,2,1
1518,3.8,20,10,4,1,1,2
2136,3.6,20,10,3,1,1,2
1238,3.9,20,9,5,1,1,2
2180,4.2,20,9,5,1,1,2
684,3.7,20,9,4,1,1,2
1973,3.6,20,8,4,2,1,2
789,3.2,20,10,4,1,2,2
82,3.7,20,10,4,1,2,2
149,4.0,20,10,4,1,2,2
1420,3.8,20,10,3,2,2,2
2882,3.5,20,9,4,1,2,2
1495,4.2,20,9,4,0,2,2
1885,4.2,20,9,3,1,2,2
1385,4.2,20,9,4,1,3,2
2368,4.7,20,9,3,1,3,2
2758,4.0,20,8,4,2,3,2
664,4.3,20,9,4,2,1,3
188,4.2,20,9,3,2,1,3
710,4.3,20,10,3,2,2,3
1006,4.4,20,9,3,2,2,3
165,4.8,20,9,3,0,2,3
966,4.8,20,8,4,2,2,3
1991,4.9,20,8,4,2,2,3
986,4.8,20,8,4,1,2,3
657,5.1,20,8,4,1,2,3
719,5.3,20,8,4,1,2,3
894,5.1,20,7,4,2,2,3
2309,4.6,20,8,4,2,3,3
626,4.7,20,8,4,1,3,3
2760,4.9,20,8,4,0,3,3
2014,6.4,20,6,3,2,3,5
2096,2.6,21,12,4,1,1,1
1646,2.9,21,11,4,2,1,1
1736,3.0,21,11,4,2,2,1
2232,3.2,21,10,5,1,2,1
2208,3.3,21,10,4,2,2,1
1061,3.5,21,11,4,1,2,2
1699,3.8,21,11,2,2,2,2
2538,3.2,21,10,5,1,2,2
1451,3.6,21,10,4,1,2,2
203,3.7,21,9,5,2,2,2
2548,4.5,21,9,5,2,2,2
1482,3.7,21,9,5,2,3,2
2766,4.5,21,8,4,1,4,2
2304,4.0,21,11,3,1,1,3
2244,4.3,21,10,3,1,2,3
2755,4.5,21,9,5,1,2,3
1068,4.2,21,9,4,2,2,3
1537,4.2,21,9,4,1,2,3
1415,5.0,21,9,4,1,2,3
786,4.3,21,9,3,2,2,3
2064,4.4,21,8,4,2,2,3
2657,4.6,21,8,4,2,2,3
2160,4.8,21,7,5,2,2,3
2063,4.9,21,7,4,2,2,3
783,4.3,21,9,3,2,3,3
1404,5.0,21,9,3,2,3,3
601,6.0,21,8,3,1,3,4
2822,5.6,21,7,3,2,3,4
1602,2.9,22,12,4,1,2,1
846,3.2,22,9,5,2,3,1
1212,3.0,22,12,4,2,1,2
1071,3.2,22,12,4,1,1,2
2212,3.2,22,12,3,2,1,2
2059,3.5,22,11,5,2,1,2
2457,3.1,22,11,4,1,1,2
2062,3.9,22,11,3,2,2,2
911,4.1,22,9,5,2,2,2
828,4.2,22,10,5,1,3,2
862,4.0,22,10,3,2,3,2
788,3.8,22,9,5,2,3,2
1730,3.6,22,11,5,1,1,3
1498,3.9,22,11,4,1,1,3
423,4.3,22,11,4,1,1,3
1745,4.1,22,11,4,1,2,3
1430,4.3,22,11,4,1,2,3
1603,4.0,22,11,3,1,2,3
1849,4.3,22,10,4,1,2,3
1709,4.9,22,10,4,1,2,3
222,4.3,22,10,3,2,2,3
1624,4.6,22,10,3,2,2,3
2306,4.5,22,10,3,1,2,3
805,5.0,22,9,4,2,2,3
